artifact_id,sha256,filename,relative_path,size_bytes,mime_type
AXI-ART-000001,f8b310c80f60d6224b2a947210176fa142e3a4041c235b1c72d0c469271095e3,AXI_v2_1_Audit_Report.xlsx,AXI_v2_1_Audit_Report.xlsx,6404,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000002,cf2c6ee015aaa8bea6e57cb24314d94c81b210d745d3c8177ee4f7819a1084c5,AXI_Business_Plan.docx.pdf,AXI_Business_Plan.docx.pdf,54457,application/pdf
AXI-ART-000003,a60035c3feb50a76e8268a4aa3959b3a645904a3a9fab8dada87ef73b82db94f,AXI_Customer_Success_Testing_Workbook.xlsx,AXI_Customer_Success_Testing_Workbook.xlsx,22749,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000004,f2d84608bc240030db91ba47fb5f33fe7c0f2351e3a76705616ef388e30a3618,AXI_Andrew_Sales_Pitch_Deck_vv2.pptx.pdf,AXI_Andrew_Sales_Pitch_Deck_vv2.pptx.pdf,759160,application/pdf
AXI-ART-000005,defcc7900630a7efede64c67151089e4a2d0bb3eeb76cbe9d534321794bd7a82,AXI STANDARD - Google Docs.pdf,AXI STANDARD - Google Docs.pdf,121488,application/pdf
AXI-ART-000006,400c9f578d19bbd2b5a91da76db13b4aa602e7f5d189ab59994ec1246cf7e9c1,AXI_Template_Pack.zip,AXI_Template_Pack.zip,63163,application/zip
AXI-ART-000007,370508357d14d253d939253719d2e7822d44c4584f6cdf23511fe32716ad2d0b,AXI_RevOps_Testing_Workbook.xlsx,AXI_RevOps_Testing_Workbook.xlsx,21800,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000008,b4c477f9ab4ebbd57f1dd4c327c39eb5eefaa0f11a7b7fa9296e2b19419bfc39,CHANGELOG.md,CHANGELOG.md,1278,text/markdown
AXI-ART-000009,d29ccf4c48fd8ef28048193a8092138fed7ae081c73ea8f3d1cad3bec8dd8276,AXI_Next_Steps_How_To.md,AXI_Next_Steps_How_To.md,4230,text/markdown
AXI-ART-000010,9793099b28aaad1cac7fde32e8c9daa23fe0f840395efd133d73c8a57d66b2fb,AXI_Step7_Proposal_Delivery_System.zip,AXI_Step7_Proposal_Delivery_System.zip,70830,application/zip
AXI-ART-000011,8a9b6f15df31352017bfe54d5a3333b8d889a076302de2d3b80d98f1a8ede5a5,Axi Service Boilerplate Operating System.pdf,Axi Service Boilerplate Operating System.pdf,84171,application/pdf
AXI-ART-000012,cee058675751d483d9d514177cca69ae3d870dfc889fa40b5c982f9440a84ef4,axi-signal-map.svg,axi-signal-map.svg,9415,image/svg+xml
AXI-ART-000013,ec8d6cddada2d2001c80be3346d7dc3270d5bf5d4adcae44d1ad48da462f3fc8,AXI_Testing_Workbook_Template.xlsx,AXI_Testing_Workbook_Template.xlsx,16964,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000014,96bb275f021927b05f950cf6f65230d04a6603e0c41ded9f6e9f8b1072a94d15,Revenue_Formula_Master_v2.1_VC1.xlsx,Revenue_Formula_Master_v2.1_VC1.xlsx,13115,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000015,36afa22fde181cf405ae19e6d8c79c93d3992b5f51fcb55b2c7a93204dbcbc7a,AXI_Dashboard_QA_Testing_Workbook.xlsx,AXI_Dashboard_QA_Testing_Workbook.xlsx,21809,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000016,43837bca8baa5a26489b5d8145dc935b9f82d51205d633f572643780a7a1d44b,AXI-STD-001 - Charter Design Principles 4  GTP(Update).docx,AXI-STD-001 - Charter Design Principles 4  GTP(Update).docx,983516,application/vnd.openxmlformats-officedocument.wordprocessingml.document
AXI-ART-000017,5fcf68065de91fcf4fae82652b8648c367613810f449b6ec09e95b695934261b,AXI Master v3 - Google Docs.pdf,AXI Master v3 - Google Docs.pdf,420946,application/pdf
AXI-ART-000018,4ac4882463cdfde7d7ef522d3f574cfd72c8acd9f8c77882a4e6d1053aee0ebd,AXI_Brand_Kit.zip,AXI_Brand_Kit.zip,4278,application/zip
AXI-ART-000019,5617d21481c32ce11d2beb8412951b68db53698f2d47e467bfe8b294b0c348dc,AXI_Client_Pipeline_Template.xlsx,AXI_Client_Pipeline_Template.xlsx,15871,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000020,200525786c2d068f1346d4bd444463f4fd6cacbe08827924ef4da547930cc582,README.md,README.md,47,text/markdown
AXI-ART-000021,6f3966f3bcdd382edfe80952f288a173a8be618138f19ebde081439688181758,AXI_KPI_Dashboard_Template.xlsx,AXI_KPI_Dashboard_Template.xlsx,14495,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000022,dc1617ba9007c439aafbda51e8040d5f5e07a1e44eb6e77a5769401c04b66465,VERSION.md,VERSION.md,217,text/markdown
AXI-ART-000023,d27e9f5e472f7b6fe31bbf5f7d6b52c156caa6947fe4d2c6e8796c73192d3215,AXI-OSv.zip,AXI-OSv.zip,6802047,application/zip
AXI-ART-000024,4199aff65c1de4fe3070e356bc629685f89aa1e3424a7e4c380bb82f131d5f5f,AXI_BI_Diagnostic_Testing_Workbook.xlsx,AXI_BI_Diagnostic_Testing_Workbook.xlsx,23753,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000025,562c3b318a496c3b939c4b74ed291e58403990239e56b8b0a8c6492a8f6b0252,.gitignore,.gitignore,193,application/octet-stream
AXI-ART-000026,007244906c435a8c8c45ddd16152b3d5df43cb79604c7c56ab55fdaebdb81bd2,AXI_Active_Engagements_Template.xlsx,AXI_Active_Engagements_Template.xlsx,15239,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
AXI-ART-000027,5300494b3c931308dccdf572ee35c388d0a58f2666d5431db6ed8b202c2e7f8c,RoadMap Response.docx,RoadMap Response.docx,46967,application/vnd.openxmlformats-officedocument.wordprocessingml.document
AXI-ART-000028,1a277537d63ccd40c059b084b79e7075ad1f62c6bfd3aae8d47721bbfe2cc38a,AXI_Step6_Workbooks.zip,AXI_Step6_Workbooks.zip,90739,application/zip
AXI-ART-000029,da617af5ffe209b7ddc4d4e3ece98d56e16fcda9752d09525e02eea921c36a46,AXI_Marketing_and_Sales_Plan.pdf.zip,AXI_Marketing_and_Sales_Plan.pdf.zip,1106371,application/zip
AXI-ART-000030,5df15e6915cb135086cc4e234558f73e2fd033c5e8cd5e2df7340cf7db9c1498,AXI_Deep_Dive_Business_Plan.docx.pdf,AXI_Deep_Dive_Business_Plan.docx.pdf,385181,application/pdf
AXI-ART-000031,ee4be8576d45a4b1cb270c90c87039934a1ace54e06de1a2549f8493798d2bb5,DEVELOPMENT.md,DEVELOPMENT.md,1964,text/markdown
AXI-ART-000032,b24a2bc943d0c891c752be8e5f15d847d59d243f2eafd6f95597ecd65ff422dc,AXI_Deep_Dive_Business_Plan.pdf.zip,AXI_Deep_Dive_Business_Plan.pdf.zip,3864728,application/zip
AXI-ART-000033,e630ef7ce6583696f499c1aa9531a6463191ed8d120de4f554faf07d449c8300,AXI_STATUS.md,AXI_STATUS.md,1912,text/markdown
AXI-ART-000034,562767bb3339203df570cd98e508866ac627a581614394e3bd7deb0175e204d8,AXI Master v3.docx,AXI Master v3.docx,240674,application/vnd.openxmlformats-officedocument.wordprocessingml.document
AXI-ART-000035,8a37f72822b23cd8df85c453cc29ece46aa9b097a67095542d40d967845f60bf,git_history.txt,Releases/F1-Reconstruction-Engine-v2.0/git_history.txt,951,text/plain
AXI-ART-000036,7789f343cb284eb511e6544da5c99d510ab12e879d801c69da7a00f91ba211e7,FREEZE.md,Releases/F1-Reconstruction-Engine-v2.0/FREEZE.md,508,text/markdown
AXI-ART-000037,748f0cb8f6b3664547aa5e32143ed6d319fcf80ae8890b590c91c9a2e97cfbb7,git_status.txt,Releases/F1-Reconstruction-Engine-v2.0/git_status.txt,1795,text/plain
AXI-ART-000038,d62b7c433e89903c8e4c00fc470c8f82b33a18c8ecce708db212403a8c936abf,engine_manifest.freeze.json,Releases/F1-Reconstruction-Engine-v2.0/engine_manifest.freeze.json,1015,application/json
AXI-ART-000039,bc3703d59ee08ea04b6a75f6d32b2d30d57fd72e4a2f24aa9d1cdad73fd9aa6f,git_tags.txt,Releases/F1-Reconstruction-Engine-v2.0/git_tags.txt,94,text/plain
